,coverage,coverage_prop,avg_size,max_wracc,avg_wracc,coverage_auto_encoder,coverage_pop_auto_encoder,added_auto_encoder,added_prop_auto_encoder,removed_auto_encoder,removed_prop_auto_encoder,avg_size_auto_encoder,max_wracc_auto_encoder,avg_wracc_auto_encoder,coverage_PCA,coverage_pop_PCA,added_PCA,added_prop_PCA,removed_PCA,removed_prop_PCA,avg_size_PCA,max_wracc_PCA,avg_wracc_PCA,coverage_SPCA,coverage_pop_SPCA,added_SPCA,added_prop_SPCA,removed_SPCA,removed_prop_SPCA,avg_size_SPCA,max_wracc_SPCA,avg_wracc_SPCA
Ionosphere,301,0.8575498575498576,184.63,0.1407699612827818,0.13164511651691138,263,0.7492877492877493,15,0.042735042735042736,53,0.150997150997151,162.5,0.11220688143765066,0.09886989553656217,265,0.7549857549857549,6,0.017094017094017096,42,0.11965811965811966,197.67,0.1538461538461538,0.13817225509533196,270,0.7692307692307693,12,0.03418803418803419,43,0.1225071225071225,187.33,0.11797793849075894,0.10420702754036086
Arrhythmia,187,0.4452380952380952,146.36,0.0827891156462585,0.08085442176870748,221,0.5261904761904762,119,0.2833333333333333,85,0.20238095238095238,81.94,0.06547619047619048,0.05392278911564624,253,0.6023809523809524,96,0.22857142857142856,30,0.07142857142857142,124.22,0.06666666666666665,0.06179897959183672,210,0.5,68,0.1619047619047619,45,0.10714285714285714,104.12,0.09047619047619049,0.06629387755102042
Indoor,5553,0.2638255416191562,4235.05,0.10803418181114251,0.10790805699982998,13094,0.6221018624097301,7574,0.3598441657164576,33,0.0015678449258836945,9921.35,0.206845412870345,0.19404694122976912,13176,0.6259977194982896,7632,0.36259977194982895,9,0.00042759407069555304,8953.99,0.22244184294471048,0.20875887493804318,14450,0.6865260357278601,8898,0.4227480045610034,1,4.751045229950589e-05,7798.87,0.2145140982707568,0.1799177247538738
Soybean,266,1.0,266.0,0.0,0.0,169,0.6353383458646616,0,0.0,97,0.36466165413533835,119.06,0.19356662332523036,0.1868149697552151,187,0.7030075187969925,0,0.0,79,0.29699248120300753,109.04,0.19622364181129515,0.16300667081236928,152,0.5714285714285714,0,0.0,114,0.42857142857142855,91.01,0.20374243880377635,0.16910311493018257
Mushroom,4596,0.5657311669128509,4018.08,0.24202604582200896,0.2260131332150777,4429,0.5451747907434761,1218,0.1499261447562777,1385,0.1704825209256524,3241.6,0.16271408384224723,0.15769771399050803,4835,0.595150172328902,891,0.10967503692762186,652,0.08025603151157065,3096.59,0.19071974256241456,0.1609681424866805,4485,0.5520679468242246,1046,0.12875430822255046,1157,0.14241752831117677,2844.2,0.19427117007894135,0.16702786523315014
Adult,22379,0.45819172024077637,20846.47,0.06637478684687972,0.06545387406309071,12211,0.2500102370910282,5659,0.11586339625731952,15827,0.32404487940706767,6294.58,0.03156651180440597,0.02705336245066467,27604,0.5651693214856066,6218,0.12730846402686213,993,0.020330862782031858,18845.61,0.06617780930296362,0.06345199424125254,25200,0.5159493878219565,7246,0.14835592318086893,4425,0.09059825559968879,18344.98,0.06462177146667518,0.062962050539745
