,coverage,coverage_prop,avg_size,max_wracc,avg_wracc,coverage_auto_encoder,coverage_pop_auto_encoder,added_auto_encoder,added_prop_auto_encoder,removed_auto_encoder,removed_prop_auto_encoder,avg_size_auto_encoder,max_wracc_auto_encoder,avg_wracc_auto_encoder,coverage_PCA,coverage_pop_PCA,added_PCA,added_prop_PCA,removed_PCA,removed_prop_PCA,avg_size_PCA,max_wracc_PCA,avg_wracc_PCA,coverage_SPCA,coverage_pop_SPCA,added_SPCA,added_prop_SPCA,removed_SPCA,removed_prop_SPCA,avg_size_SPCA,max_wracc_SPCA,avg_wracc_SPCA
Ionosphere,350,0.9971509971509972,59.24,0.06939878734750526,0.043401271093578775,338,0.9629629629629629,1,0.002849002849002849,13,0.037037037037037035,26.15,0.04594930235955876,0.013787712762071731,339,0.9658119658119658,1,0.002849002849002849,12,0.03418803418803419,24.19,0.060194316604573,0.014684783402732118,343,0.9772079772079773,1,0.002849002849002849,8,0.022792022792022793,24.8,0.05836803272700707,0.013273431222149164
Arrhythmia,296,0.7047619047619048,97.65,0.06554421768707483,0.05814812925170067,395,0.9404761904761905,108,0.2571428571428571,9,0.02142857142857143,22.59,0.06047619047619049,0.009497619047619046,406,0.9666666666666667,113,0.26904761904761904,3,0.007142857142857143,21.49,0.06047619047619049,0.005991666666666665,415,0.9880952380952381,120,0.2857142857142857,1,0.002380952380952381,24.02,0.06761904761904762,0.005257653061224488
Indoor,8417,0.3998954770049411,4176.39,0.10696403189697552,0.10639298479188797,19418,0.9225579627518053,11001,0.5226624857468644,0,0.0,1164.57,0.08101853958612057,0.013708722066707202,15845,0.7528031166856708,7428,0.35290763968072975,0,0.0,1115.16,0.10726978901530895,0.020435474918887326,18146,0.8621246674268339,9739,0.46270429494488785,10,0.0004751045229950589,1104.0,0.10724430925544784,0.01743383460742967
Soybean,251,0.943609022556391,134.99,0.24068630222171972,0.16175730680083666,249,0.9360902255639098,9,0.03383458646616541,11,0.041353383458646614,17.49,0.10379331788116908,0.01871106337271751,264,0.9924812030075187,13,0.04887218045112782,0,0.0,16.87,0.06427723443948218,0.012125897450392902,266,1.0,15,0.05639097744360902,0,0.0,15.88,0.09811182090564757,0.010088473062355137
Mushroom,8124,1.0,2105.28,0.1823755424596742,0.09028494814860072,7751,0.9540866568193008,0,0.0,373,0.045913343180699166,486.9,0.07677296827776069,0.015498338044893029,7153,0.8804775972427376,0,0.0,971,0.11952240275726243,759.22,0.10354328198496907,0.04005249867816932,7150,0.8801083210241261,0,0.0,974,0.11989167897587395,622.89,0.10354328198496907,0.03152908172949999
Adult,41678,0.8533229597477581,9164.5,0.06345601575676821,0.024945288728229945,48842,1.0,7164,0.14667704025224193,0,0.0,4308.985294117647,0.027494046419569255,2.5618372265606845e-06,45107,0.9235289300192457,6296,0.1289054502272634,2867,0.05869947995577577,3188.15,0.048272054321344286,0.0067353636858360835,44482,0.9107325662339789,5318,0.10888170017607797,2514,0.05147209368985709,2975.67,0.036847460733858105,0.0069393533248083865
