,coverage,coverage_prop,avg_size,max_wracc,avg_wracc,coverage_auto_encoder,coverage_pop_auto_encoder,added_auto_encoder,added_prop_auto_encoder,removed_auto_encoder,removed_prop_auto_encoder,avg_size_auto_encoder,max_wracc_auto_encoder,avg_wracc_auto_encoder,coverage_PCA,coverage_pop_PCA,added_PCA,added_prop_PCA,removed_PCA,removed_prop_PCA,avg_size_PCA,max_wracc_PCA,avg_wracc_PCA,coverage_SPCA,coverage_pop_SPCA,added_SPCA,added_prop_SPCA,removed_SPCA,removed_prop_SPCA,avg_size_SPCA,max_wracc_SPCA,avg_wracc_SPCA
Ionosphere,351,1.0,79.87,0.06939878734750526,0.02507122507122506,351,1.0,0,0.0,0,0.0,70.2,0.04594930235955876,-1.27675647831893e-17,351,1.0,0,0.0,0,0.0,70.2,0.060194316604573,-1.0547118733938987e-17,351,1.0,0,0.0,0,0.0,70.20833333333333,0.05836803272700707,-1.5219032313062292e-05
Arrhythmia,418,0.9952380952380953,82.65,0.06346938775510204,0.03678741496598639,420,1.0,2,0.004761904761904762,0,0.0,84.0,0.06047619047619049,-2.7755575615628915e-18,420,1.0,2,0.004761904761904762,0,0.0,84.0,0.06047619047619049,6.938893903907229e-19,420,1.0,2,0.004761904761904762,0,0.0,84.15789473684211,0.06761904761904762,0.0008270676691729302
Indoor,21048,1.0,9145.19,0.10696403189697552,0.05797448567723289,21048,1.0,0,0.0,0,0.0,4209.6,0.08101853958612057,-6.938893903907229e-19,21048,1.0,0,0.0,0,0.0,4209.6,0.10726978901530895,2.7755575615628915e-18,21048,1.0,0,0.0,0,0.0,4209.6,0.10724430925544784,2.7755575615628915e-18
Soybean,266,1.0,95.97938144329896,0.2223133020521228,8.584198644008943e-18,266,1.0,0,0.0,0,0.0,53.2,0.10379331788116908,3.7007434154171884e-18,266,1.0,0,0.0,0,0.0,53.2,0.06427723443948218,3.469446951953614e-18,266,1.0,0,0.0,0,0.0,53.2,0.09811182090564757,7.632783294297952e-18
Mushroom,8124,1.0,1297.18,0.13771766569429383,0.013828433771858693,8124,1.0,0,0.0,0,0.0,1624.8,0.07677296827776069,2.7755575615628915e-18,8124,1.0,0,0.0,0,0.0,1624.8,0.10354328198496907,4.3615904538845435e-18,8124,1.0,0,0.0,0,0.0,1624.8,0.10354328198496907,1.982541115402065e-18
Adult,48842,1.0,3618.39,0.06345601575676821,0.003816407467903789,48842,1.0,0,0.0,0,0.0,9768.666666666666,0.027494046419569255,1.61907524424502e-18,48842,1.0,0,0.0,0,0.0,9768.4,0.048272054321344286,3.0531133177191805e-18,48842,1.0,0,0.0,0,0.0,9768.4,0.036847460733858105,3.191891195797325e-18
